Number of nodes 5890 
   132 :  8.2047374e+00  4.4021114e+01 
   133 :  8.3263703e+00  4.4154182e+01 
   134 :  8.4666856e+00  4.4276870e+01 
   135 :  8.6397886e+00  4.4379087e+01 
   136 :  8.8581678e+00  4.4412817e+01 
   137 :  9.0725321e+00  4.4363922e+01 
   138 :  9.2833677e+00  4.4311745e+01 
   139 :  9.4738921e+00  4.4225674e+01 
   140 :  9.6549910e+00  4.4129602e+01 
   141 :  9.8669340e+00  4.4079009e+01 
   142 :  1.0074526e+01  4.4019220e+01 
   143 :  1.0223353e+01  4.3900280e+01 
   144 :  1.0281282e+01  4.3745069e+01 
   145 :  1.0306012e+01  4.3584311e+01 
   146 :  1.0395371e+01  4.3438025e+01 
   147 :  1.0499717e+01  4.3295246e+01 
   148 :  1.0541173e+01  4.3137517e+01 
   149 :  1.0513734e+01  4.2977359e+01 
   150 :  1.0703299e+01  4.2931376e+01 
   151 :  1.0813325e+01  4.2796771e+01 
   152 :  1.0981824e+01  4.2693190e+01 
   153 :  1.1130299e+01  4.2573896e+01 
   154 :  1.1211610e+01  4.2429990e+01 
   155 :  1.1420133e+01  4.2381304e+01 
   156 :  1.1607363e+01  4.2300401e+01 
   157 :  1.1737448e+01  4.2171371e+01 
   158 :  1.1879408e+01  4.2052479e+01 
   159 :  1.2059527e+01  4.1961730e+01 
   160 :  1.2189877e+01  4.1835211e+01 
   161 :  1.2310961e+01  4.1708530e+01 
   162 :  1.2472736e+01  4.1601837e+01 
   163 :  1.2621737e+01  4.1485237e+01 
   164 :  1.2815689e+01  4.1415368e+01 
   165 :  1.2983059e+01  4.1316711e+01 
   166 :  1.3168465e+01  4.1272890e+01 
   167 :  1.3379544e+01  4.1270324e+01 
   168 :  1.3584666e+01  4.1235944e+01 
   169 :  1.3780922e+01  4.1196969e+01 
   170 :  1.3902965e+01  4.1064495e+01 
   171 :  1.4009322e+01  4.0924203e+01 
   172 :  1.4153666e+01  4.0820699e+01 
   173 :  1.4347556e+01  4.0783926e+01 
   174 :  1.4396890e+01  4.0632663e+01 
   175 :  1.4606459e+01  4.0635508e+01 
   176 :  1.4811440e+01  4.0628896e+01 
   177 :  1.4934770e+01  4.0499067e+01 
   178 :  1.4947079e+01  4.0343288e+01 
   179 :  1.4994870e+01  4.0207046e+01 
   180 :  1.5181288e+01  4.0131863e+01 
   181 :  1.5341187e+01  4.0027882e+01 
   182 :  1.5544287e+01  4.0060777e+01 
   183 :  1.5710709e+01  3.9980857e+01 
   184 :  1.5789784e+01  3.9831462e+01 
   185 :  1.5829659e+01  3.9672666e+01 
   186 :  1.5910014e+01  3.9524243e+01 
   187 :  1.6014338e+01  3.9385124e+01 
   188 :  1.6058735e+01  3.9227162e+01 
   189 :  1.6097578e+01  3.9068362e+01 
   190 :  1.6196197e+01  3.8926690e+01 
   191 :  1.6178113e+01  3.8770760e+01 
   192 :  1.5991625e+01  3.8712882e+01 
   193 :  1.5861572e+01  3.8605365e+01 
   194 :  1.5897120e+01  3.8455758e+01 
   195 :  1.5803161e+01  3.8312063e+01 
   196 :  1.5664096e+01  3.8197442e+01 
   197 :  1.5655764e+01  3.8036430e+01 
   198 :  1.5791146e+01  3.7931900e+01 
   199 :  1.5995137e+01  3.7924818e+01 
   200 :  1.6134574e+01  3.8030158e+01 
   201 :  1.6214015e+01  3.8177796e+01 
   202 :  1.6357894e+01  3.8292065e+01 
   203 :  1.6521786e+01  3.8388953e+01 
   204 :  1.6568923e+01  3.8542612e+01 
   205 :  1.6563819e+01  3.8703968e+01 
   206 :  1.6675833e+01  3.8836067e+01 
   207 :  1.6855117e+01  3.8915969e+01 
   208 :  1.7060721e+01  3.8926023e+01 
   209 :  1.7142042e+01  3.9054969e+01 
   210 :  1.7136037e+01  3.9216487e+01 
   211 :  1.7119186e+01  3.9377007e+01 
   212 :  1.6971065e+01  3.9488843e+01 
   213 :  1.6798284e+01  3.9580485e+01 
   214 :  1.6605571e+01  3.9643822e+01 
   215 :  1.6516000e+01  3.9781974e+01 
   216 :  1.6588087e+01  3.9931849e+01 
   217 :  1.6632128e+01  4.0089221e+01 
   218 :  1.6741678e+01  4.0227446e+01 
   219 :  1.6846500e+01  4.0367693e+01 
   220 :  1.6992058e+01  4.0484103e+01 
   221 :  1.7187409e+01  4.0467214e+01 
   222 :  1.7342463e+01  4.0359077e+01 
   223 :  1.7543543e+01  4.0310446e+01 
   224 :  1.7754590e+01  4.0294940e+01 
   225 :  1.7925070e+01  4.0210024e+01 
   226 :  1.8004454e+01  4.0060917e+01 
   227 :  1.8080048e+01  3.9914130e+01 
   228 :  1.8259241e+01  3.9833186e+01 
   229 :  1.8404559e+01  3.9923058e+01 
   230 :  1.8471326e+01  4.0076163e+01 
   231 :  1.8453711e+01  4.0234679e+01 
   232 :  1.8333323e+01  4.0366434e+01 
   233 :  1.8175361e+01  4.0474462e+01 
   234 :  1.8034185e+01  4.0593441e+01 
   235 :  1.7871030e+01  4.0692900e+01 
   236 :  1.7679759e+01  4.0764450e+01 
   237 :  1.7487670e+01  4.0834661e+01 
   238 :  1.7321770e+01  4.0936579e+01 
   239 :  1.7149797e+01  4.1033052e+01 
   240 :  1.6956078e+01  4.1101178e+01 
