Number of elem 23380 
Number of local values per element 3 
0;0;-1.234532e-06;1.036657e-07;2.884525e-07;
0;1;-4.671945e-06;4.691778e-06;1.348471e-04;
0;2;-1.935454e-06;-1.716967e-07;1.503744e-05;
1;0;-4.565827e-04;4.013681e-04;1.051083e-02;
1;1;-5.264504e-04;5.880011e-04;1.660972e-02;
1;2;-1.538754e-04;6.577847e-05;3.228507e-03;
2;0;-8.322332e-70;-1.765768e-68;2.831633e-67;
2;1;2.900287e-68;2.664678e-68;-9.869172e-68;
2;2;4.547941e-69;-8.081914e-69;6.187240e-67;
3;0;-4.414997e-39;-1.558546e-39;4.434832e-38;
3;1;-8.863969e-40;1.467853e-38;-2.720343e-37;
3;2;-4.917031e-39;-1.458762e-39;8.363005e-38;
4;0;5.902778e-69;-4.715894e-68;5.908637e-67;
4;1;-6.386623e-69;9.512896e-68;-1.845429e-66;
4;2;6.729404e-69;1.331546e-67;-1.720363e-66;
5;0;-3.810082e-39;-4.729111e-39;9.646116e-38;
5;1;1.913977e-38;3.339740e-38;-7.489594e-37;
5;2;1.096255e-38;2.594567e-38;-4.355841e-37;
6;0;-2.042499e-03;9.235370e-05;4.957205e-02;
6;1;-1.621619e-03;1.950202e-05;3.082114e-02;
6;2;-2.238122e-03;-6.951405e-06;5.403545e-02;
7;0;3.310511e-07;-1.932868e-07;-7.626112e-06;
7;1;3.165933e-08;1.100693e-08;8.030415e-08;
7;2;2.802715e-07;-7.744213e-08;-5.183164e-06;
8;0;-1.671000e-06;-1.372654e-06;-2.592288e-05;
8;1;1.419924e-06;7.171050e-07;9.448204e-06;
8;2;-5.806112e-07;-4.268405e-08;-4.837107e-06;
9;0;-1.232962e-10;-1.088001e-10;3.374547e-09;
9;1;-1.335224e-10;-4.533182e-10;8.193552e-09;
9;2;9.196607e-11;-7.061337e-12;-1.182524e-10;
10;0;7.541388e-04;8.925340e-04;-5.920230e-03;
10;1;4.468977e-04;8.904328e-04;-4.064634e-03;
10;2;3.065911e-04;1.059242e-03;2.153921e-03;
11;0;6.013825e-05;-8.615765e-05;-1.648953e-03;
11;1;5.527980e-05;-7.964913e-05;-1.972843e-03;
11;2;5.229787e-05;-5.095455e-05;-1.529855e-03;
12;0;-2.234446e-03;1.337985e-04;5.268006e-02;
12;1;-2.366562e-03;-6.405167e-05;5.464496e-02;
12;2;-2.146145e-03;8.566172e-05;5.000016e-02;
13;0;-1.948318e-03;1.792049e-03;4.525186e-02;
13;1;-1.142713e-03;9.232524e-04;2.693688e-02;
13;2;-1.450340e-03;1.073998e-03;3.645658e-02;
14;0;-2.336202e-04;1.723074e-04;1.186491e-03;
14;1;-1.895894e-04;3.300795e-04;1.191395e-04;
14;2;-2.898707e-04;3.452162e-04;2.595916e-03;
15;0;8.199717e-09;-2.492553e-08;5.621686e-07;
15;1;-1.004561e-08;2.720310e-08;-4.866923e-07;
15;2;1.228874e-08;-1.111265e-08;1.385992e-07;
16;0;-1.127184e-03;8.729168e-04;-4.819941e-03;
16;1;-1.327685e-03;8.458169e-04;-2.580792e-03;
16;2;-1.162605e-03;7.230197e-04;-5.029831e-03;
17;0;7.667980e-09;-1.915549e-08;3.661011e-07;
17;1;5.484653e-09;-2.438761e-08;4.796513e-07;
17;2;9.537580e-10;3.689140e-09;2.788904e-08;
18;0;9.443516e-23;8.632721e-25;-2.888275e-21;
18;1;4.316923e-23;6.357101e-23;-4.570889e-22;
18;2;1.177416e-22;2.185614e-23;-2.568493e-21;
19;0;-3.731203e-06;2.094704e-06;7.997039e-05;
19;1;-1.586492e-06;2.364153e-07;1.828992e-05;
19;2;-4.815199e-06;3.615599e-06;1.223658e-04;
20;0;-1.045313e-04;-4.430079e-04;-7.739565e-03;
20;1;4.830409e-07;-4.302942e-04;-6.402460e-03;
20;2;-4.212068e-05;-5.223621e-04;-7.302986e-03;
21;0;-1.510319e-03;3.767645e-04;3.476933e-02;
21;1;-2.259416e-03;-8.501767e-05;5.482073e-02;
21;2;-1.497950e-03;1.831084e-04;2.987918e-02;
